epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step
0,49,,,,,,0.53125,,0.6913778781890869
0,99,,,,,,0.5,,0.6907530426979065
0,149,,,,,,0.5,,0.6959636807441711
0,199,,,,,,0.5,,0.7065500020980835
0,249,,,,,,0.65625,,0.6541659832000732
0,299,,,,,,0.625,,0.6499379873275757
0,349,,,,,,0.5,,0.7540069818496704
0,399,,,,,,0.40625,,0.8209099769592285
0,449,,,,,,0.46875,,0.6709431409835815
0,499,,,,,,0.625,,0.6658180952072144
0,549,,,,,,0.5,,0.700570821762085
0,599,,,,,,0.4375,,0.7382248044013977
0,649,,,,,,0.65625,,0.6154255867004395
0,688,,,,,0.500001847743988,,0.6633884906768799,
1,699,,,,,,0.6875,,0.5568393468856812
1,749,,,,,,0.5,,0.754799485206604
1,799,,,,,,0.625,,0.6650711297988892
1,849,,,,,,0.71875,,0.5890573263168335
1,899,,,,,,0.78125,,0.5900202393531799
1,949,,,,,,0.46875,,0.7966581583023071
1,999,,,,,,0.625,,0.5896658301353455
1,1049,,,,,,0.46875,,0.8171143531799316
1,1099,,,,,,0.59375,,0.6445033550262451
1,1149,,,,,,0.65625,,0.6641203165054321
1,1199,,,,,,0.78125,,0.6152703762054443
1,1249,,,,,,0.59375,,0.6552297472953796
1,1299,,,,,,0.59375,,0.6539853811264038
1,1349,,,,,,0.65625,,0.648484468460083
1,1377,,,,,0.500002384185791,,0.6226816177368164,
2,1399,,,,,,0.78125,,0.527008056640625
2,1449,,,,,,0.6875,,0.5690350532531738
2,1499,,,,,,0.8125,,0.5404106974601746
2,1549,,,,,,0.71875,,0.44541841745376587
2,1599,,,,,,0.78125,,0.5150448679924011
2,1649,,,,,,0.75,,0.4892009496688843
2,1699,,,,,,0.78125,,0.4396013021469116
2,1749,,,,,,0.96875,,0.22041574120521545
2,1799,,,,,,0.875,,0.2994144558906555
2,1849,,,,,,0.59375,,0.7131029367446899
2,1899,,,,,,0.78125,,0.38992688059806824
2,1949,,,,,,0.90625,,0.2822616696357727
2,1999,,,,,,0.84375,,0.3180233836174011
2,2049,,,,,,0.90625,,0.23719088733196259
2,2066,,,,,0.5000036954879761,,0.4095763564109802,
3,2099,,,,,,0.96875,,0.1826474964618683
3,2149,,,,,,0.90625,,0.18189026415348053
3,2199,,,,,,0.90625,,0.24506109952926636
3,2249,,,,,,0.9375,,0.22759416699409485
3,2299,,,,,,0.9375,,0.24470080435276031
3,2349,,,,,,1.0,,0.15876176953315735
3,2399,,,,,,0.84375,,0.3217751383781433
3,2449,,,,,,1.0,,0.07618904858827591
3,2499,,,,,,0.84375,,0.3536948561668396
3,2549,,,,,,0.8125,,0.3718702793121338
3,2599,,,,,,0.9375,,0.18913689255714417
3,2649,,,,,,0.96875,,0.14807023108005524
3,2699,,,,,,0.90625,,0.19928166270256042
3,2749,,,,,,0.9375,,0.1670069694519043
3,2755,,,,,0.5000044703483582,,0.23074929416179657,
4,2799,,,,,,0.9375,,0.1826808750629425
4,2849,,,,,,0.9375,,0.16446265578269958
4,2899,,,,,,0.90625,,0.19578048586845398
4,2949,,,,,,0.96875,,0.1224418506026268
4,2999,,,,,,0.9375,,0.17793136835098267
4,3049,,,,,,0.9375,,0.35284775495529175
4,3099,,,,,,0.8125,,0.4310290217399597
4,3149,,,,,,0.875,,0.27924835681915283
4,3199,,,,,,0.96875,,0.21258552372455597
4,3249,,,,,,0.9375,,0.1545739620923996
4,3299,,,,,,0.9375,,0.1552601009607315
4,3349,,,,,,0.84375,,0.36623746156692505
4,3399,,,,,,1.0,,0.18411163985729218
4,3444,,,,,0.5000045299530029,,0.20241650938987732,
,0,,0.91015625,,0.20030838251113892,,,,
,1,,0.89453125,,0.2423643171787262,,,,
,2,,0.89453125,,0.23357217013835907,,,,
,3,,0.93359375,,0.1988420933485031,,,,
,4,,0.93359375,,0.18695718050003052,,,,
,5,,0.921875,,0.17924976348876953,,,,
,6,,0.93359375,,0.17334680259227753,,,,
,7,,0.9296875,,0.20342624187469482,,,,
,8,,0.9296875,,0.1994916796684265,,,,
,9,,0.921875,,0.21697229146957397,,,,
,10,,0.921875,,0.2283436805009842,,,,
,11,,0.9375,,0.16756990551948547,,,,
,12,,0.9140625,,0.2074238657951355,,,,
,13,,0.92578125,,0.17947980761528015,,,,
,14,,0.92578125,,0.20224708318710327,,,,
,15,,0.953125,,0.15169022977352142,,,,
,16,,0.91796875,,0.20144790410995483,,,,
,17,,0.91796875,,0.19669128954410553,,,,
,18,,0.9453125,,0.16519808769226074,,,,
,19,,0.921875,,0.21690917015075684,,,,
,20,,0.90234375,,0.22592204809188843,,,,
,21,,0.9555555582046509,,0.1445915699005127,,,,
5,3445,0.9239702224731445,,0.19759537279605865,,,,,
