epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step
0,49,,,,,,0.40625,,0.7002888917922974
0,99,,,,,,0.625,,0.6695712208747864
0,149,,,,,,0.625,,0.6536039113998413
0,199,,,,,,0.59375,,0.694218635559082
0,249,,,,,,0.59375,,0.6758745908737183
0,299,,,,,,0.5625,,0.6872255802154541
0,349,,,,,,0.59375,,0.6431719064712524
0,399,,,,,,0.625,,0.6222618818283081
0,449,,,,,,0.59375,,0.6721775531768799
0,499,,,,,,0.625,,0.7078163027763367
0,549,,,,,,0.71875,,0.6327965259552002
0,599,,,,,,0.53125,,0.7138596773147583
0,649,,,,,,0.59375,,0.6165115833282471
0,688,,,,,0.5000019669532776,,0.6742284297943115,
1,699,,,,,,0.625,,0.5955151319503784
1,749,,,,,,0.625,,0.6548663377761841
1,799,,,,,,0.5625,,0.6728289127349854
1,849,,,,,,0.6875,,0.6195293664932251
1,899,,,,,,0.53125,,0.6311501264572144
1,949,,,,,,0.75,,0.5679922699928284
1,999,,,,,,0.78125,,0.5613418817520142
1,1049,,,,,,0.65625,,0.6252086758613586
1,1099,,,,,,0.5625,,0.7053546905517578
1,1149,,,,,,0.6875,,0.6385613083839417
1,1199,,,,,,0.6875,,0.6486313939094543
1,1249,,,,,,0.8125,,0.5319430828094482
1,1299,,,,,,0.75,,0.5251954793930054
1,1349,,,,,,0.71875,,0.6419142484664917
1,1377,,,,,0.5000024437904358,,0.6300532221794128,
2,1399,,,,,,0.4375,,0.7658469676971436
2,1449,,,,,,0.75,,0.6040600538253784
2,1499,,,,,,0.75,,0.5356066226959229
2,1549,,,,,,0.6875,,0.6454548835754395
2,1599,,,,,,0.59375,,0.6464184522628784
2,1649,,,,,,0.84375,,0.526311993598938
2,1699,,,,,,0.6875,,0.6015885472297668
2,1749,,,,,,0.5625,,0.7183189392089844
2,1799,,,,,,0.53125,,0.6767085194587708
2,1849,,,,,,0.59375,,0.6595813632011414
2,1899,,,,,,0.53125,,0.6222019195556641
2,1949,,,,,,0.625,,0.6910785436630249
2,1999,,,,,,0.71875,,0.6056981086730957
2,2049,,,,,,0.75,,0.5377048254013062
2,2066,,,,,0.5000026226043701,,0.6155080199241638,
3,2099,,,,,,0.6875,,0.5737090706825256
3,2149,,,,,,0.65625,,0.6015890836715698
3,2199,,,,,,0.8125,,0.5365675091743469
3,2249,,,,,,0.75,,0.598670482635498
3,2299,,,,,,0.71875,,0.6384153366088867
3,2349,,,,,,0.6875,,0.6215741634368896
3,2399,,,,,,0.625,,0.6046823263168335
3,2449,,,,,,0.71875,,0.5749853849411011
3,2499,,,,,,0.625,,0.634027361869812
3,2549,,,,,,0.75,,0.5160782337188721
3,2599,,,,,,0.71875,,0.5569519996643066
3,2649,,,,,,0.5625,,0.6176335215568542
3,2699,,,,,,0.65625,,0.6754024028778076
3,2749,,,,,,0.625,,0.6596014499664307
3,2755,,,,,0.5000026226043701,,0.6067572832107544,
4,2799,,,,,,0.625,,0.5965284109115601
4,2849,,,,,,0.75,,0.5480964779853821
4,2899,,,,,,0.5625,,0.6954354643821716
4,2949,,,,,,0.65625,,0.6012839078903198
4,2999,,,,,,0.71875,,0.5759199857711792
4,3049,,,,,,0.53125,,0.6594650745391846
4,3099,,,,,,0.53125,,0.6693840026855469
4,3149,,,,,,0.5625,,0.706265389919281
4,3199,,,,,,0.75,,0.561882495880127
4,3249,,,,,,0.71875,,0.5213354825973511
4,3299,,,,,,0.6875,,0.6033898591995239
4,3349,,,,,,0.8125,,0.5229364633560181
4,3399,,,,,,0.75,,0.6120723485946655
4,3444,,,,,0.5000026822090149,,0.6018296480178833,
,0,,0.640625,,0.5955893993377686,,,,
,1,,0.65234375,,0.6093746423721313,,,,
,2,,0.63671875,,0.6288431882858276,,,,
,3,,0.6796875,,0.6033503413200378,,,,
,4,,0.70703125,,0.5781522989273071,,,,
,5,,0.6875,,0.6084169149398804,,,,
,6,,0.70703125,,0.5687951445579529,,,,
,7,,0.68359375,,0.5674625635147095,,,,
,8,,0.65234375,,0.598236620426178,,,,
,9,,0.6640625,,0.6166468858718872,,,,
,10,,0.65234375,,0.6325212717056274,,,,
,11,,0.734375,,0.5626389980316162,,,,
,12,,0.66796875,,0.6079912185668945,,,,
,13,,0.671875,,0.6092746257781982,,,,
,14,,0.7109375,,0.56105637550354,,,,
,15,,0.69921875,,0.5731857419013977,,,,
,16,,0.6796875,,0.5915092825889587,,,,
,17,,0.7265625,,0.555870771408081,,,,
,18,,0.703125,,0.5739327669143677,,,,
,19,,0.64453125,,0.6311989426612854,,,,
,20,,0.6640625,,0.5871206521987915,,,,
,21,,0.6370370388031006,,0.6271688938140869,,,,
5,3445,0.6782798171043396,,0.5942164659500122,,,,,
