epoch,step,testMeanAbsoluteError_epoch,testMeanAbsoluteError_step,test_loss_epoch,test_loss_step,trainMeanAbsoluteError_epoch,trainMeanAbsoluteError_step,train_loss_epoch,train_loss_step
34,2799,,,,,,0.011352526023983955,,0.00013127189595252275
34,2799,,,,,1.0224143753845283e-09,,8.334084850503132e-05,
35,2849,,,,,,0.0009363821009173989,,9.318105185229797e-07
35,2879,,,,,1.022116169480114e-09,,8.331122080562636e-05,
36,2899,,,,,,0.011037900112569332,,0.000232429985771887
36,2949,,,,,,0.0028893377166241407,,1.1964503755734768e-05
36,2959,,,,,1.0218131896166938e-09,,8.328081457875669e-05,
37,2999,,,,,,0.010631774552166462,,0.00012009213969577104
37,3039,,,,,1.0215098766863662e-09,,8.325077942572534e-05,
38,3049,,,,,,0.004407478962093592,,2.3332373530138284e-05
38,3099,,,,,,0.0020972664933651686,,7.66146695241332e-06
38,3119,,,,,1.0211954615257923e-09,,8.321932546095923e-05,
39,3149,,,,,,0.010353177785873413,,0.00012251843872945756
39,3199,,,,,,0.01132461242377758,,0.0001307153725065291
39,3199,,,,,1.020882600677453e-09,,8.318834443343803e-05,
40,3249,,,,,,0.0009572455892339349,,9.637111588745029e-07
40,3279,,,,,1.0205708500521382e-09,,8.3157341578044e-05,
41,3299,,,,,,0.011037908494472504,,0.00023197277914732695
41,3349,,,,,,0.002889359137043357,,1.199502821691567e-05
41,3359,,,,,1.0202514388879536e-09,,8.31258439575322e-05,
42,3399,,,,,,0.010609648190438747,,0.00011960781557718292
42,3439,,,,,1.019924589229504e-09,,8.309331315103918e-05,
43,3449,,,,,,0.0044007194228470325,,2.3155009330366738e-05
43,3499,,,,,,0.0020752137061208487,,7.609515250805998e-06
43,3519,,,,,1.0196107291804424e-09,,8.306208474095911e-05,
44,3549,,,,,,0.010337159968912601,,0.00012204003724036738
44,3599,,,,,,0.011297261342406273,,0.0001301735028391704
44,3599,,,,,1.0192975352651956e-09,,8.303077629534528e-05,
45,3649,,,,,,0.0009804764995351434,,1.0013171731770854e-06
45,3679,,,,,1.0189458166109944e-09,,8.299633191199973e-05,
46,3699,,,,,,0.011039568111300468,,0.00023154033988248557
46,3749,,,,,,0.002888472517952323,,1.202183193527162e-05
46,3759,,,,,1.0186272936252294e-09,,8.296572923427448e-05,
47,3799,,,,,,0.010586303658783436,,0.00011909013846889138
47,3839,,,,,1.0182806819969414e-09,,8.293045539176092e-05,
48,3849,,,,,,0.004394028801470995,,2.2972759325057268e-05
48,3899,,,,,,0.0020531571935862303,,7.5606053542287555e-06
48,3919,,,,,1.0179568299406583e-09,,8.289833931485191e-05,
49,3949,,,,,,0.010323564521968365,,0.0001215772790601477
49,3999,,,,,,0.011269718408584595,,0.0001296288101002574
49,3999,,,,,1.0176351983304244e-09,,8.286775118904188e-05,
,0,,0.002537626074627042,,6.714888058922952e-06,,,,
,1,,0.004664566367864609,,2.1762814867543057e-05,,,,
,2,,0.002537667052820325,,6.715170002280502e-06,,,,
,3,,0.020249102264642715,,0.00046968780225142837,,,,
,4,,0.011747363954782486,,0.00015754197374917567,,,,
,5,,0.0025385732296854258,,6.719479642924853e-06,,,,
,6,,0.005969030782580376,,3.7472829717444256e-05,,,,
,7,,0.0005246844375506043,,2.7884513542630884e-07,,,,
,8,,0.003964308183640242,,1.9059883925365284e-05,,,,
,9,,0.009859351441264153,,9.721144306240603e-05,,,,
,10,,0.007860302925109863,,7.156570063671097e-05,,,,
,11,,0.006425351835787296,,4.4629610783886164e-05,,,,
,12,,0.01811377704143524,,0.000425315200118348,,,,
,13,,0.007733441889286041,,8.161838195519522e-05,,,,
,14,,0.00442068325355649,,2.1386935259215534e-05,,,,
,15,,0.0046644872054457664,,2.1762069081887603e-05,,,,
,16,,0.000530020915903151,,2.855354637176788e-07,,,,
,17,,0.010914219543337822,,0.0002282933273818344,,,,
,18,,0.0033658354077488184,,1.2843453077948652e-05,,,,
,19,,0.0005302164936438203,,2.8576437216543127e-07,,,,
50,4000,0.006457529962062836,,8.655755664221942e-05,,,,,
